She helps me.	Ella me ayuda.
I see you.	Yo te veo.
He likes him.	Él lo quiere.
We call her.	Nosotros la llamamos.
They want it.	Ellos lo/la quieren.
You understand us.	Ustedes nos entienden.
I trust you.	Yo los/las confío.
She knows them.	Ella los/las conoce.
Can you help me?	¿Puedes ayudarme?
The dog follows him.	El perro lo sigue.
We invited her to the party.	Invitamos la a la fiesta.
Did you see it?	¿Viste lo/la?
They always visit us.	Ellos siempre nos visitan.
I need to talk to you.	Necesito hablar con ustedes.
She is watching them play.	Ella está mirando los/las jugar.
He doesn't believe me.	Él no me cree.
The teacher asked you a question.	El profesor te hizo una pregunta.
I can't find him anywhere.	No puedo encontrarlo en ningún lado.
My mother loves her very much.	Mi madre la quiere mucho.
Please give it to me.	Por favor, damelo.
They are waiting for us.	Ellos nos están esperando.
We will contact you soon.	Los/Las contactaremos pronto.
The movie entertained them.	La película los/las entretuvo.
She often calls me at night.	Ella a menudo me llama por la noche.
I don't understand you sometimes.	A veces no te entiendo.
The cat chased him up a tree.	El gato lo persiguió a un árbol.
He wrote a letter to her.	Él le escribió una carta a ella.
Can you fix it for me?	¿Puedes arreglarlo/la para mí?
They showed us their new house.	Ellos nos mostraron su nueva casa.
I saw you at the park yesterday.	Los/Las vi ayer en el parque.
The loud noise scared them.	El ruido fuerte los/las asustó.
She always encourages me.	Ella siempre me anima.
I need your help with you.	Necesito tu ayuda contigo.
The wind blew him away.	El viento lo llevó lejos.
He bought a gift for her.	Él compró un regalo para ella.
We can't open it.	No podemos abrirlo/la.
The teacher praised us.	El profesor nos elogió.
I will always remember you.	Siempre los/las recordaré.
They don't like them very much.	A ellos no los/las agrada mucho.
He told me a secret.	Él me contó un secreto.
She is waiting for you outside.	Ella te está esperando afuera.
The bee stung him on the arm.	La abeja lo picó en el brazo.
I often think about her.	A menudo pienso en ella.
They finally found it.	Finalmente lo/la encontraron.
She introduced us to her friends.	Ella nos presentó a sus amigos.
I want to thank you for everything.	Quiero darles/las gracias por todo.
The children annoyed them.	Los niños los/las molestaron.
He always makes me laugh.	Él siempre me hace reír.
Can you hear you clearly?	¿Puedes oírte claramente?
The rain soaked him completely.	La lluvia lo empapó por completo.
She sent a message to her.	Ella le envió un mensaje a ella.
We need to clean it now.	Necesitamos limpiarlo/la ahora.
They will join us for dinner.	Ellos se unirán a nosotros para cenar.
I will miss you when you leave.	Los/Las extrañaré cuando se vayan.
The loud music bothered them.	La música alta los/las molestó.
She decided to leave me alone.	Ella decidió dejarme solo.
I tried to call you several times.	Intenté llamarte varias veces.
The sun warmed him gently.	El sol lo calentó suavemente.
He drew a picture for her.	Él dibujó una imagen para ella.
They need to fix it urgently.	Necesitan arreglarlo/la urgentemente.
She invited us to her wedding.	Ella nos invitó a su boda.
I hope to see you again soon.	Espero verlos/las pronto.
The news surprised them greatly.	La noticia los/las sorprendió mucho.
He always supports me in my decisions.	Él siempre me apoya en mis decisiones.
I want to introduce you to my friend.	Quiero presentarte a mi amigo/a.
The dog licked him on the face.	El perro lo lamió en la cara.
She gave a book to her.	Ella le dio un libro a ella.
We found it under the table.	Encontramos lo/la debajo de la mesa.
They often ask us for advice.	A menudo nos piden consejo.
I will never forget you.	Nunca los/las olvidaré.
The story fascinated them.	La historia los/las fascinó.
She decided to forgive me.	Ella decidió perdonarme.
I need to ask you a favor.	Necesito pedirte un favor.
The cold wind chilled him to the bone.	El viento frío lo heló hasta los huesos.
He sent flowers to her.	Él le envió flores a ella.
Can you describe it to me?	¿Puedes describirlo/la?
They are planning a surprise for us.	Están planeando una sorpresa para nosotros.
I am very grateful to you.	Estoy muy agradecido/a con ustedes.
The puzzle challenged them.	El rompecabezas los/las desafió.
She tried to comfort me.	Ella trató de consolarme.
I want to help you with your project.	Quiero ayudarte con tu proyecto.
The bright light blinded him for a moment.	La luz brillante lo cegó por un momento.
He dedicated the song to her.	Él dedicó la canción a ella.
They need to repair it quickly.	Necesitan repararlo/la rápidamente.
She often visits us on weekends.	Ella a menudo nos visita los fines de semana.
I am looking forward to seeing you.	Estoy deseando verlos/las.
The comedian amused them greatly.	El comediante los/las divirtió mucho.
He promised to call me later.	Él prometió llamarme más tarde.
I need to talk to you urgently.	Necesito hablar contigo urgentemente.
The heavy box fell on him.	La caja pesada cayó sobre él.
She wrote a lovely poem for her.	Ella escribió un poema hermoso para ella.
They decided to sell it.	Ellos decidieron venderlo/la.
He always includes us in his plans.	Él siempre nos incluye en sus planes.
I hope everything goes well for you.	Espero que todo les vaya bien.
The difficult exam worried them.	El examen difícil los/las preocupó.
She offered to drive me home.	Ella se ofreció a llevarme a casa.
I want to thank you for your kindness.	Quiero agradecerles/las su amabilidad.
The loud music distracted him.	La música alta lo distrajo.
He bought a beautiful necklace for her.	Él compró un collar hermoso para ella.
They showed us how to do it.	Ellos nos mostraron cómo hacerlo.
