Inglés	Español
I am a teacher.	Yo soy profesor.
You are my friend.	Tú eres mi amigo.
He is a doctor.	Él es doctor.
She is a student.	Ella es estudiante.
It is a sunny day.	Es un día soleado.
We are going to the park.	Vamos al parque.
You are all invited.	Ustedes están todos invitados.
They are playing soccer.	Ellos están jugando fútbol.
I like to read.	Me gusta leer.
You need to study.	Necesitas estudiar.
He loves music.	A él le encanta la música.
She wants to travel.	Ella quiere viajar.
It looks beautiful.	Se ve hermoso.
We enjoy learning.	Disfrutamos aprender.
You should try this.	Deberías probar esto.
They have a cat.	Ellos tienen un gato.
I can swim.	Puedo nadar.
You will succeed.	Vas a tener éxito.
He plays the guitar.	Él toca la guitarra.
She cooks dinner.	Ella cocina la cena.
It feels cold outside.	Se siente frío afuera.
We are best friends.	Somos mejores amigos.
You look happy.	Te ves feliz.
They are watching a movie.	Ellos están viendo una película.
I have a dog.	Tengo un perro.
You can call me.	Puedes llamarme.
He is my brother.	Él es mi hermano.
She is very kind.	Ella es muy amable.
It is a long story.	Es una larga historia.
We are learning Spanish.	Estamos aprendiendo español.
You are always welcome.	Siempre eres bienvenido.
They are our neighbors.	Ellos son nuestros vecinos.
I will help you.	Te ayudaré.
You have a nice smile.	Tienes una bonita sonrisa.
He enjoys sports.	A él le gustan los deportes.
She likes chocolate.	A ella le gusta el chocolate.
It is time to go.	Es hora de irse.
We are here for you.	Estamos aquí para ti.
You did a great job.	Hiciste un gran trabajo.
They are playing games.	Ellos están jugando juegos.
I am tired.	Estoy cansado.
You should rest.	Deberías descansar.
He is very tall.	Él es muy alto.
She has a new dress.	Ella tiene un vestido nuevo.
It is raining today.	Está lloviendo hoy.
We will visit you.	Te visitaremos.
You are very helpful.	Eres muy útil.
They like to dance.	A ellos les gusta bailar.
I want to learn more.	Quiero aprender más.
You can do it!	¡Puedes hacerlo!
He reads every day.	Él lee todos los días.
She is my best friend.	Ella es mi mejor amiga.
It is a great opportunity.	Es una gran oportunidad.
We are excited.	Estamos emocionados.
You have a great idea.	Tienes una gran idea.
They are working hard.	Ellos están trabajando duro.
I enjoy music.	Disfruto de la música.
You should see this.	Deberías ver esto.
He has a good sense of humor.	Él tiene buen sentido del humor.
She is very talented.	Ella es muy talentosa.
It is important to listen.	Es importante escuchar.
We are proud of you.	Estamos orgullosos de ti.
You have a beautiful voice.	Tienes una voz hermosa.
They are going home.	Ellos van a casa.
I need to think.	Necesito pensar.
You can trust me.	Puedes confiar en mí.
He is always on time.	Él siempre llega a tiempo.
She helps her family.	Ella ayuda a su familia.
It is a fun activity.	Es una actividad divertida.
We are planning a trip.	Estamos planeando un viaje.
You are doing well.	Lo estás haciendo bien.
They enjoy their work.	Ellos disfrutan su trabajo.
I feel happy today.	Me siento feliz hoy.
You are a good listener.	Eres un buen oyente.
He is learning French.	Él está aprendiendo francés.
She loves animals.	Ella ama a los animales.
It is a good day.	Es un buen día.
We are going to the beach.	Vamos a la playa.
You inspire me.	Me inspiras.
They are very friendly.	Ellos son muy amables.
