Frase en Inglés	Traducción al Español
This book is mine.	Este libro es mío.
Is this pen yours?	¿Es este bolígrafo tuyo?
The car is his.	El coche es suyo.
That bag is hers.	Esa bolsa es suya.
This house is ours.	Esta casa es nuestra.
Are these keys yours?	¿Son estas llaves vuestras?
The toys are theirs.	Los juguetes son suyos.
The laptop is mine.	La computadora portátil es mía.
Is that jacket yours?	¿Es esa chaqueta tuya?
The phone is his.	El teléfono es suyo.
This necklace is hers.	Este collar es suyo.
The garden is ours.	El jardín es nuestro.
Are those shoes yours?	¿Son esos zapatos vuestros?
The bikes are theirs.	Las bicicletas son suyas.
That chair is mine.	Esa silla es mía.
Is this hat yours?	¿Es este sombrero tuyo?
The watch is his.	El reloj es suyo.
The scarf is hers.	La bufanda es suya.
This table is ours.	Esta mesa es nuestra.
Are these books yours?	¿Son estos libros vuestros?
The paintings are theirs.	Las pinturas son suyas.
The camera is mine.	La cámara es mía.
Is that wallet yours?	¿Es esa billetera tuya?
The guitar is his.	La guitarra es suya.
The ring is hers.	El anillo es suyo.
This apartment is ours.	Este apartamento es nuestro.
Are those glasses yours?	¿Son esas gafas vuestras?
The tools are theirs.	Las herramientas son suyas.
This cup is mine.	Esta taza es mía.
Is this umbrella yours?	¿Es este paraguas tuyo?
The dog is his.	El perro es suyo.
The cat is hers.	El gato es suyo.
This farm is ours.	Esta granja es nuestra.
Are these chairs yours?	¿Son estas sillas vuestras?
The clothes are theirs.	La ropa es suya.
The painting is mine.	La pintura es mía.
Is that phone yours?	¿Es ese teléfono tuyo?
The boat is his.	El barco es suyo.
The dress is hers.	El vestido es suyo.
This park is ours.	Este parque es nuestro.
Are those bags yours?	¿Son esas bolsas vuestras?
The furniture is theirs.	Los muebles son suyos.
This pencil is mine.	Este lápiz es mío.
Is this coat yours?	¿Es este abrigo tuyo?
The house is his.	La casa es suya.
The bracelet is hers.	La pulsera es suya.
This shop is ours.	Esta tienda es nuestra.
Are these toys yours?	¿Son estos juguetes vuestros?
The cars are theirs.	Los coches son suyos.
The diary is mine.	El diario es mío.
Is that laptop yours?	¿Es esa computadora portátil tuya?
The bike is his.	La bicicleta es suya.
The earrings are hers.	Los pendientes son suyos.
This land is ours.	Esta tierra es nuestra.
Are those pens yours?	¿Son esos bolígrafos vuestros?
The books are theirs.	Los libros son suyos.
This tablet is mine.	Esta tableta es mía.
Is this camera yours?	¿Es esta cámara tuya?
The truck is his.	El camión es suyo.
The purse is hers.	El bolso es suyo.
This office is ours.	Esta oficina es nuestra.
Are these hats yours?	¿Son estos sombreros vuestros?
The laptops are theirs.	Las computadoras portátiles son suyas.
The clock is mine.	El reloj es mío.
Is this scarf yours?	¿Es esta bufanda tuya?
The piano is his.	El piano es suyo.
The necklace is hers.	El collar es suyo.
This restaurant is ours.	Este restaurante es nuestro.
Are these wallets yours?	¿Son estas billeteras vuestras?
The chairs are theirs.	Las sillas son suyas.
This lamp is mine.	Esta lámpara es mía.
Is this watch yours?	¿Es este reloj tuyo?
The camera is his.	La cámara es suya.
The hat is hers.	El sombrero es suyo.
This yard is ours.	Este patio es nuestro.
Are these jackets yours?	¿Son estas chaquetas vuestras?
The phones are theirs.	Los teléfonos son suyos.
This mirror is mine.	Este espejo es mío.
Is this bag yours?	¿Es esta bolsa tuya?
The violin is his.	El violín es suyo.
The coat is hers.	El abrigo es suyo.
This building is ours.	Este edificio es nuestro.
Are these cameras yours?	¿Son estas cámaras vuestras?
The tables are theirs.	Las mesas son suyas.
This rug is mine.	Esta alfombra es mía.
Is this ring yours?	¿Es este anillo tuyo?
The motorcycle is his.	La motocicleta es suya.
The skirt is hers.	La falda es suya.
This store is ours.	Esta tienda es nuestra.
Are these watches yours?	¿Son estos relojes vuestros?
The paintings are theirs.	Las pinturas son suyas.
This vase is mine.	Este jarrón es mío.
Is this chair yours?	¿Es esta silla tuya?
The drone is his.	El dron es suyo.
The wallet is hers.	La billetera es suya.
This cabin is ours.	Esta cabaña es nuestra.
Are these bikes yours?	¿Son estas bicicletas vuestras?
The guitars are theirs.	Las guitarras son suyas.
This plant is mine.	Esta planta es mía.
Is this tablet yours?	¿Es esta tableta tuya?
